Date,Time,T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens
2017/09/07,00:52:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:52:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:53:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:53:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,00:53:00,03,11948,11775,1,11949,11775,116.02,0.12,8476,31.91,nan,745,
2017/09/07,00:53:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:54:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:54:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,00:54:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:54:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:55:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:55:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,00:55:00,03,11948,11775,1,11949,11776,116.03,0.13,8476,31.91,nan,745,
2017/09/07,00:55:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:56:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:56:00,02,5199,5128,0,5199,5128,83.03,-0.23,10760,31.09,nan,745,
2017/09/07,00:56:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:56:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:57:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:57:00,02,5199,5129,0,5199,5129,83.04,-0.23,10759,31.09,nan,745,
2017/09/07,00:57:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:57:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:58:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:58:00,02,5198,5128,0,5198,5128,83.03,-0.23,10760,31.09,nan,745,
2017/09/07,00:58:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:58:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.26,nan,826,
2017/09/07,00:59:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:59:00,02,5199,5129,0,5199,5129,83.03,-0.23,10759,31.09,nan,745,
2017/09/07,00:59:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:59:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:00:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,01:00:00,02,5199,5129,0,5199,5129,83.04,-0.22,10759,31.09,nan,745,
2017/09/07,01:00:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,01:00:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.26,nan,826,
2017/09/07,01:01:00,01,9954,9819,0,9954,9819,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,01:01:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,01:01:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,01:01:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:02:00,01,9954,9819,0,9954,9819,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,01:02:00,02,5199,5129,0,5199,5129,83.03,-0.23,10759,31.09,nan,745,
2017/09/07,01:02:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,01:02:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:03:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,01:03:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,01:03:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,01:03:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:04:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,01:04:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,01:04:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,01:04:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:05:00,01,9952,9817,0,9952,9817,136.39,-0.41,6006,31.18,nan,745,
2017/09/07,01:05:00,02,5199,5129,0,5199,5129,83.03,-0.22,10759,31.09,nan,745,
2017/09/07,01:05:00,03,11948,11775,1,11949,11775,116.02,0.12,8476,31.91,nan,745,
2017/09/07,01:05:00,04,26370,26066,0,26370,26066,170.08,-0.46,5322,33.26,nan,826,
2017/09/07,01:06:00,01,9950,9814,0,9950,9814,136.35,-0.41,6009,31.18,nan,745,
